DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P271	P262	P5475	P254	P254S1	P254S2	P5470	P5470S1	P5471	P5471S1	P5472	P5472S1	P5473	P5473S1	P5474S1	P5474S2	P5474S3	P5474S4	P5474S5	P5474S6	P5474S7	P5474S8	P5474S9	P5476	P5476S1	P5477	P5477S1	P5478	P5478S1	P5479	P5479S1	P5480	P5480S1	P5481	P5481S1	P5482	P5482S1	P5483	P5483S1	P5484	P5484S1	FEX_P
367346880	235	1	3	6	3	1	1	4	1	2		2		2		2		2	2	2	1	2	2	2	2	2	1	1	2		2		2		2		1	1	2		2		1	2	967.070754771967
367346880	235	1	4	6	3	1	1	4	0	2		2		2		2		2	2	2	1	2	2	2	2	2	1	1	2		2		2		1	2	1	1	2		2		2		967.070754771967
367336440	235	1	4	5	4	1	1	3	2	1	3	2		2		1	4	1	2	2	2	2	2	2	1	1	1	3	1	3	2		2		1	2	1	1	1	2	1	2	1	2	546.481240654914
367388040	235	1	4	7	3	1	1	3	2	1	5	2		2		1	4	2	2	2	2	2	2	2	1	2	2		2		2		1	3	1	3	1	1	1	3	2		2		212.888380666166
367274640	235	1	4	7	3	2	1	3	1	2		2		2		2		2	2	1	2	1	2	2	1	1	2		2		2		1	4	1	1	1	1	1	1	2		2		1075.75500735336
367381080	235	1	3	6	4	1	1	3	3	2		2		2		2		2	2	1	2	2	2	2	1	2	2		1	3	1	3	2		1	3	1	1	2		1	2	2		1324.75943187563
367381080	235	1	5	6	4	1	1	3	1	2		1	2	2		2		2	2	2	2	2	2	2	2	2	2		1	3	2		2		2		1	1	2		1	1	2		1324.75943187563
367358400	235	1	3	7	3	1	1	3	4	1	5	2		1	5	1	5	2	2	2	2	2	2	1	2	2	1	2	2		2		2		1	3	1	1	1	3	1	2	2		804.607419440246
367365000	235	1	5	6	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	1	1	2	1	2	2		2		2		2		1	1	2		2		2		1120.4534826924
367359840	235	1	3	6	3	1	1	3	2	1	4	2		2		2		2	2	2	2	2	2	1	2	2	1	1	1	3	2		2		1	3	1	1	1	2	2		1	1	723.685225106349
367348080	235	1	3	6	3	1	1	2	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2		2		2		2		1	1	2		2		2		1081.90845171555
367332840	235	1	3	7	3	2	1	2	3	1	2	2		2		2		2	2	2	2	2	2	2	2	2	2		1	3	2		2		1	3	1	1	2		2		1	1	896.707232411768
367293240	235	1	2	7	3	1	1	3	4	1	5	2		1	5	2		2	2	2	1	1	2	2	2	1	1	2	2		2		1	4	1	3	1	1	1	3	2		1	2	1433.81640278112
367388400	235	1	3	6	3	1	1	3	4	1	2	2		2		1	2	2	2	2	2	2	2	2	2	2	1	2	2		2		1	4	1	2	1	1	1	3	2		1	2	188.273475286084
367392360	235	1	3	7	3	1	1	3	4	2		2		2		2		2	2	2	1	2	2	2	1	2	1	4	2		2		1	1	1	1	1	1	1	3	1	2	1	2	266.688186032304
367392360	235	1	4	7	3	2	1	2	2	1	4	2		2		2		2	2	2	1	1	2	2	1	2	2		2		2		1	1	1	2	1	1	1	4	2		1	2	266.688186032304
367392960	235	1	5	6	3	1	1	4	0	2		2		2		1	2	1	2	2	1	2	2	2	1	2	1	2	2		2		1	3	1	2	1	1	1	3	2		1	2	200.094528986798
367366800	235	1	3	6	3	1	1	3	0	1	3	1	3	2		2		1	2	2	2	2	2	1	1	2	1	1	2		2		2		1	2	1	1	1	2	2		2		1233.63018246291
367333680	235	2	3	6	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2		2		1	4	1	2	1	1	1	2	1	2	1	2	2366.77512468599
367333680	235	3	3	6	3	1	1	3	0	2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	2		2		2		2		1	1	2		1	2	1	2	2366.77512468599
367347840	235	1	4	6	4	2	1	1	1	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		2		2		2		2		2		749.546529271194
367329480	235	1	4	6	3	1	1	3	4	2		2		2		1	5	2	2	2	2	2	1	2	2	2	1	5	1	4	1	2	2		1	2	1	1	1	3	1	1	1	1	1001.57717759538
367288200	235	1	3	6	3	1	1	4	0	2		2		2		2		2	2	2	2	2	2	2	2	1	1	1	2		2		2		1	3	1	1	1	2	2		2		1531.31506849398
367288200	235	1	4	6	3	1	2	3	1	2		2		2		2		2	2	2	1	2	2	2	2	1	1	1	2		2		2		1	2	1	1	1	2	2		2		1531.31506849398
367297200	235	1	2	7	3	1	1	3	1	1	5	2		1	5	1	4	2	2	2	1	1	2	2	1	1	1	4	1	4	1	3	1	4	1	2	1	1	1	2	1	1	1	2	1683.60839218882
367226640	235	1	2	99	3	2	1	2	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		1	2	1	1	1	2	2		1	2	1137.60629060134
367224360	235	1	3	5	3	1	1	3	4	2		1	5	2		2		2	2	1	2	2	2	1	2	2	1	2	2		2		2		1	3	1	1	1	2	2		1	2	812.975010554676
367224360	235	1	4	5	3	1	1	3	1	2		1	5	2		2		2	2	1	2	2	2	1	2	2	1	2	2		2		2		1	2	1	1	1	2	2		1	2	812.975010554676
367224360	235	1	5	5	3	2	1	2	0	2		1	5	2		2		2	2	1	2	2	2	1	2	2	1	2	2		2		2		1	2	1	1	2		2		1	2	812.975010554676
367226160	235	1	3	6	3	1	1	3	3	1	4	1	4	2		1	4	2	2	2	1	1	2	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	2		1	2	1384.61672043772
367226160	235	1	4	6	3	1	1	3	0	1	4	1	4	2		1	4	2	2	2	1	1	2	2	1	1	1	1	2		2		1	2	1	2	1	1	1	2	2		1	2	1384.61672043772
367225320	235	1	2	5	3	1	1	4	0	2		2		2		2		2	2	2	2	2	2	1	2	2	1	1	2		2		2		2		1	1	2		2		1	2	761.301138264658
367225320	235	1	3	5	3	1	1	4	0	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	2		2		2		2		1	1	2		2		1	2	761.301138264658
367222800	235	1	2	6	3	1	1	3	5	2		2		2		2		2	2	2	2	2	2	2	2	1	1	1	1	2	2		2		2		2		2		2		2		2916.90144468531
367294200	235	1	3	7	4	1	1	2	2	1	5	2		2		2		2	2	2	1	1	2	2	1	1	2		2		2		1	4	1	2	1	1	1	3	2		1	2	1441.20313747916
367381680	235	1	3	6	3	1	1	3	2	1	5	1	5	2		1	5	1	2	1	1	2	2	1	1	2	1	1	2		2		2		1	3	1	1	2		1	1	1	1	1388.05154210966
367317000	235	1	4	6	3	1	1	3	5	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2		1	3	1	5	1	3	1	1	2		2		2		1168.8068227678
367317000	235	1	5	6	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	2		1	3	1	5	1	3	1	1	2		2		2		1168.8068227678
367295640	235	1	4	7	3	1	1	3	1	1	5	2		1	5	2		2	2	2	2	1	2	2	1	1	1	2	2		2		2		1	2	1	1	2		2		2		1759.18916495151
367295640	235	1	5	7	3	2	1	2	3	1	5	2		1	5	2		2	2	2	1	2	2	2	1	1	2		2		2		1	5	1	2	1	1	1	1	2		1	2	1759.18916495151
