DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6020	P5785	P5465	P5501	P6070	P6160	P6170	P260	P261	FEX_P
3064402	235	1	3	1	18	5	3	6	1	2	5	2	710.942796190069
3064402	235	1	4	2	16	5	3	6	1	1	5	1	710.942796190069
3064402	235	1	5	2	15	5	3	6	1	1	4	4	710.942796190069
3064403	235	1	1	1	58	5	1	2	1	1	5	2	701.976400988597
3064403	235	1	2	2	39	5	2	2	1	2	5	2	701.976400988597
3064403	235	1	3	2	12	5	3	6	1	1	3	5	701.976400988597
3064403	235	1	4	1	11								701.976400988597
3064403	235	1	5	2	7								701.976400988597
3064403	235	1	6	1	2								701.976400988597
3064404	235	1	2	1	53	5	2	2	1	2	5	2	874.487494473738
3064404	235	1	3	1	15	5	3	6	1	1	4	3	874.487494473738
3064404	235	1	1	2	37	5	1	2	1	2	5	2	874.487494473738
3064405	235	1	1	1	70	5	1	3	1	1	6	5	450.024268216491
3064405	235	1	2	2	64	5	2	3	1	2	3	5	450.024268216491
3064406	235	1	1	2	40	5	1	6	1	1	6	5	753.607028654183
3064406	235	1	2	1	10								753.607028654183
3064407	235	1	1	1	65	5	1	3	1	1	5	2	592.523719630453
3064407	235	1	2	2	61	5	2	3	2	2	1		592.523719630453
3064407	235	1	3	1	11								592.523719630453
3064407	235	1	4	2	8								592.523719630453
3064408	235	1	1	1	61	5	1	4	1	1	4	2	482.839262087881
3064409	235	1	1	1	61	5	1	2	1	2	5	2	597.185951637867
3064409	235	1	2	1	8								597.185951637867
3064410	235	1	1	2	78	5	1	3	1	2	3	3	409.112971105901
3064410	235	1	2	1	80	5	2	3	2	2	1		409.112971105901
3064411	235	1	1	1	34	5	1	2	1	2	6	5	767.480868677095
3064411	235	1	2	2	27	5	2	2	1	1	5	3	767.480868677095
3064411	235	1	3	1	6								767.480868677095
3064412	235	1	1	2	33	5	1	6	1	2	5	2	808.710261813482
3064412	235	1	2	1	15	5	3	6	1	1	4	1	808.710261813482
3064412	235	1	3	2	13	5	3	6	1	1	3	4	808.710261813482
3064412	235	1	4	2	11								808.710261813482
3064412	235	1	5	2	6								808.710261813482
3064413	235	1	1	2	72	5	1	6	1	2	3	2	569.264667015819
3064413	235	1	2	2	25	5	4	6	1	1	5	4	569.264667015819
3064413	235	1	3	2	22	5	4	6	1	2	5	2	569.264667015819
3064413	235	1	4	1	2								569.264667015819
3064414	235	1	1	2	31	5	1	6	1	2	5	1	955.23171203667
3064414	235	1	2	1	17	5	3	6	1	1	5	2	955.23171203667
3064414	235	1	3	1	11								955.23171203667
3064414	235	1	4	2	30	5	5	6	1	2	5	2	955.23171203667
3064414	235	1	5	1	8								955.23171203667
3064414	235	1	6	1	0								955.23171203667
3064415	235	1	1	1	55	6	1	6	1	2	5	2	482.839262087881
3064416	235	1	1	1	67	5	1	6	1	2	7	10	482.839262087881
3064417	235	1	1	1	64	5	1	3	1	2	6	5	491.496541006465
3064417	235	1	2	2	63	5	2	3	1	2	7	10	491.496541006465
3064417	235	1	3	1	41	5	3	6	1	1	6	4	491.496541006465
3064418	235	1	1	1	65	5	1	3	1	2	6	10	491.496541006465
3064418	235	1	2	2	62	5	2	3	1	2	7	10	491.496541006465
3064418	235	1	3	1	38	5	3	6	1	2	6	10	491.496541006465
3064419	235	1	1	2	66	5	1	4	1	2	6	2	597.354313093164
3064420	235	1	1	2	61	5	1	6	1	2	5	2	597.354313093164
3064421	235	1	1	2	70	5	1	3	1	2	6	10	606.449029544848
3064421	235	1	2	1	34	5	3	2	1	2	7	10	606.449029544848
3064421	235	1	3	2	32	5	5	2	1	2	6	5	606.449029544848
3064421	235	1	4	2	16	5	4	6	1	1	4	4	606.449029544848
3064421	235	1	5	2	6								606.449029544848
3064422	235	1	2	2	47	5	5	6	1	1	6	1	497.024318244564
3064422	235	1	1	2	59	5	1	4	1	2	5	2	497.024318244564
3064423	235	1	1	1	51	5	1	2	1	2	6	5	894.820165977568
3064423	235	1	2	2	49	5	2	2	1	2	6	5	894.820165977568
3064423	235	1	3	1	24	5	3	6	1	2	5	2	894.820165977568
3064423	235	1	4	2	20	5	3	6	1	1	6	4	894.820165977568
3064423	235	1	5	1	14	5	3	6	1	1	4	2	894.820165977568
3064424	235	1	1	1	54	5	1	3	1	2	5	2	718.44759703982
3064424	235	1	2	2	54	5	2	3	1	2	7	10	718.44759703982
3064425	235	1	1	2	36	5	1	6	1	2	6	3	581.600460816868
3064425	235	1	2	2	18	5	5	6	1	2	5	2	581.600460816868
3064426	235	1	1	1	42	1	1	1	1	2	6	1	1528.88071062703
3064426	235	1	2	2	36	6	2	1	1	2	6	2	1528.88071062703
3064426	235	1	3	1	17	6	3	6	1	1	4	3	1528.88071062703
3064426	235	1	4	2	16	6	3	6	1	1	4	4	1528.88071062703
3064426	235	1	5	1	10								1528.88071062703
3064427	235	1	3	2	0								1374.43744730336
3064427	235	1	4	2	0								1374.43744730336
3064427	235	1	1	1	52	6	1	1	1	2	6	5	1374.43744730336
3064427	235	1	2	2	20	6	2	1	1	1	6	3	1374.43744730336
3064428	235	1	1	2	53	5	1	5	2	2	1		1099.53294874865
3064428	235	1	2	1	32	5	3	2	1	2	3	5	1099.53294874865
3064428	235	1	3	2	32	5	5	2	1	1	6	2	1099.53294874865
3064428	235	1	4	1	6								1099.53294874865
3064428	235	1	5	2	4								1099.53294874865
3064428	235	1	6	2	27	1	3	4	1	1	3	5	1099.53294874865
3064428	235	1	7	2	12	1	4	6	1	1	3	5	1099.53294874865
3064428	235	1	8	2	8								1099.53294874865
3064428	235	1	9	1	4								1099.53294874865
3064429	235	1	1	1	41	6	1	2	1	2	3	5	1172.73898709448
3064429	235	1	2	2	42	6	2	2	1	2	3	4	1172.73898709448
3064429	235	1	3	2	19	1	3	6	1	1	4	4	1172.73898709448
3064429	235	1	4	1	6								1172.73898709448
3064429	235	1	5	2	33	6	5	6	1	2	4	2	1172.73898709448
3064430	235	1	1	2	33	6	1	4	1	2	4	4	1576.76950066908
3064430	235	1	2	1	17	6	3	6	1	1	4	3	1576.76950066908
3064430	235	1	3	2	9								1576.76950066908
3064430	235	1	4	1	7								1576.76950066908
3064431	235	1	1	1	47	5	1	2	1	2	3	5	1054.39100524158
3064431	235	1	2	2	47	5	2	2	1	2	6	1	1054.39100524158
3064432	235	1	1	2	27	6	1	6	1	2	3	5	1637.03168555925
3064432	235	1	2	1	11								1637.03168555925
3064432	235	1	3	2	9								1637.03168555925
3064432	235	1	4	1	3								1637.03168555925
3064432	235	2	1	2	24	5	1	2	1	2	3	5	1637.03168555925
3064432	235	2	2	1	42	5	2	2	1	2	5	2	1637.03168555925
3064432	235	2	3	2	1								1637.03168555925
3064432	235	3	1	2	40	5	1	4	1	2	3	2	1637.03168555925
3064432	235	3	2	1	15	5	3	6	1	1	4	2	1637.03168555925
3064432	235	3	3	1	12	5	3	6	1	1	3	5	1637.03168555925
3064433	235	1	1	1	49	6	1	4	1	2	6	3	1229.17571549609
3064434	235	1	1	1	38	6	1	1	1	2	5	2	1528.88071062703
3064434	235	1	2	2	17	6	2	1	1	1	5	1	1528.88071062703
3064434	235	1	3	1	16	6	3	6	1	1	5	1	1528.88071062703
3064434	235	1	4	1	6								1528.88071062703
3064434	235	1	5	2	48	6	5	4	1	2	3	3	1528.88071062703
3064435	235	1	1	1	44	1	1	1	1	2	3	5	1054.39100524158
3064435	235	1	2	2	38	6	2	1	1	2	3	3	1054.39100524158
3064436	235	1	1	1	51	6	1	3	1	2	3	4	1229.17571549609
3064437	235	1	1	1	47	6	1	2	1	2	4	2	1515.19131054464
3064437	235	1	2	2	51	6	2	2	1	2	4	1	1515.19131054464
3064437	235	1	3	2	19	6	3	6	1	1	5	2	1515.19131054464
3064437	235	1	4	1	17	6	3	6	1	1	4	3	1515.19131054464
3064437	235	1	5	2	14	6	3	6	1	1	4	3	1515.19131054464
3064437	235	1	6	1	12	6	3	6	1	2	3	3	1515.19131054464
3064438	235	1	1	2	78	6	1	5	1	2	3	5	1035.98134958295
3064438	235	1	2	1	50	6	3	2	1	2	3	5	1035.98134958295
3064438	235	1	3	2	48	5	5	2	1	2	4	2	1035.98134958295
3064438	235	1	4	1	8								1035.98134958295
3064439	235	1	1	1	76	5	1	2	1	2	5	2	1130.96493286456
3064439	235	1	2	2	62	1	2	2	1	2	3	5	1130.96493286456
3064439	235	1	3	1	32	6	3	6	1	2	6	6	1130.96493286456
3064439	235	1	4	1	32	5	3	6	1	2	6	2	1130.96493286456
3064439	235	1	5	1	19	1	4	6	1	1	6	0	1130.96493286456
3064440	235	1	1	1	70	5	1	2	1	2	3	5	871.755138747531
3064440	235	1	2	2	62	5	2	2	1	2	3	5	871.755138747531
3064440	235	1	3	1	37	5	3	2	1	2	6	2	871.755138747531
3064440	235	1	4	2	37	5	5	2	1	2	5	3	871.755138747531
3064440	235	1	5	2	9								871.755138747531
3064441	235	1	1	1	37	6	1	3	1	2	6	2	1661.1945845316
3064441	235	1	2	2	37	6	2	3	1	2	5	2	1661.1945845316
3064441	235	1	3	1	19	6	3	6	1	1	6	1	1661.1945845316
3064441	235	1	4	1	17	6	3	6	1	1	6	0	1661.1945845316
3064441	235	1	5	1	11								1661.1945845316
3064442	235	1	1	2	56	6	1	4	1	2	3	5	1043.00447850279
3064442	235	1	2	1	28	6	3	6	1	2	5	2	1043.00447850279
3064442	235	1	3	1	32	6	3	4	1	2	6	2	1043.00447850279
3064443	235	1	1	2	43	5	1	4	1	2	5	2	1151.32293465711
3064443	235	1	2	2	7								1151.32293465711
3064444	235	1	1	1	23	5	1	2	1	2	6	2	1431.35719296526
3064444	235	1	2	2	21	6	2	2	1	1	6	1	1431.35719296526
3064444	235	1	3	2	0								1431.35719296526
3064445	235	1	1	2	32	5	1	4	1	2	6	3	1395.41248739103
3064445	235	1	2	2	11								1395.41248739103
3064445	235	1	3	1	10								1395.41248739103
3064446	235	1	1	1	30	6	1	3	1	1	6	1	1324.80334164674
3064446	235	1	2	2	31	1	4	3	1	2	6	5	1324.80334164674
3064446	235	1	3	2	5								1324.80334164674
3064446	235	1	4	2	4								1324.80334164674
3064446	235	1	5	2	20	1	6	6	1	2	5	2	1324.80334164674
3064447	235	1	1	1	24	6	1	6	1	2	6	5	1334.20475737488
3064448	235	1	1	2	43	6	1	4	1	2	5	2	2026.6531705271
3064448	235	1	2	1	14	6	3	6	1	2	4	4	2026.6531705271
3064448	235	1	3	1	11								2026.6531705271
3064449	235	1	1	1	48	5	1	2	1	2	3	3	1593.34735429251
3064449	235	1	2	2	44	5	2	2	1	2	4	0	1593.34735429251
3064449	235	1	3	2	16	6	3	6	1	1	4	2	1593.34735429251
3064450	235	1	1	1	72	1	1	2	1	2	3	3	1150.79031214529
3064450	235	1	2	2	61	6	2	2	1	2	3	2	1150.79031214529
3064451	235	1	1	2	78	6	1	5	1	2	3	1	1285.65396556359
3064452	235	1	1	1	57	6	1	3	1	2	5	2	2185.02870159039
3064452	235	1	2	2	54	6	2	3	1	2	4	4	2185.02870159039
3064452	235	1	3	1	21	6	3	6	1	2	6	0	2185.02870159039
3064452	235	2	1	1	28	5	1	3	1	2	6	3	2185.02870159039
3064452	235	2	2	2	28	6	2	3	1	2	5	2	2185.02870159039
3064452	235	2	3	1	9								2185.02870159039
3064452	235	2	4	1	2								2185.02870159039
3064452	235	3	1	2	31	6	1	3	1	1	6	0	2185.02870159039
3064452	235	3	2	1	34	6	2	3	1	2	5	2	2185.02870159039
3064452	235	3	3	2	11								2185.02870159039
3064452	235	3	4	2	9								2185.02870159039
3064452	235	3	5	2	6								2185.02870159039
3064453	235	1	1	1	33	6	1	3	1	2	6	5	2093.71832054447
3064453	235	1	2	2	32	6	2	3	1	2	6	2	2093.71832054447
3064453	235	1	3	2	13	6	3	6	1	1	4	2	2093.71832054447
3064453	235	1	4	2	9								2093.71832054447
3064453	235	1	5	2	6								2093.71832054447
3064454	235	1	1	2	34	6	1	2	1	2	5	2	1849.92427632914
3064454	235	1	2	1	34	6	2	2	1	2	5	2	1849.92427632914
3064454	235	1	3	2	7								1849.92427632914
3064454	235	1	4	2	7								1849.92427632914
3064454	235	1	5	1	4								1849.92427632914
3064456	235	1	1	1	43	6	1	3	1	2	6	2	1702.01606914352
3064456	235	1	2	2	39	6	2	3	1	2	6	1	1702.01606914352
3064456	235	1	3	1	8								1702.01606914352
3064456	235	1	4	1	4								1702.01606914352
3064457	235	1	1	1	34	6	1	3	1	2	4	1	2206.33928237998
3064457	235	1	2	2	32	6	2	3	1	2	5	2	2206.33928237998
3064457	235	1	3	1	12	6	3	6	1	1	4	1	2206.33928237998
3064457	235	1	4	1	8								2206.33928237998
3064457	235	1	5	2	4								2206.33928237998
3064458	235	1	1	1	68	6	1	3	1	2	4	0	1261.00710385962
3064458	235	1	2	2	67	6	2	3	1	2	5	2	1261.00710385962
3064458	235	1	3	1	41	6	3	6	1	2	6	5	1261.00710385962
3064459	235	1	1	2	51	6	1	6	1	2	1		1412.31278269681
3064460	235	1	1	1	44	6	1	6	1	2	5	2	2133.11733237743
3064460	235	1	2	2	45	6	2	3	1	2	5	2	2133.11733237743
3064460	235	1	3	2	11								2133.11733237743
3064460	235	1	4	2	7								2133.11733237743
3064460	235	1	5	1	54	6	9	6	1	1	4	1	2133.11733237743
3064461	235	1	1	1	49	6	1	3	1	2	4	1	1522.52957441114
3064461	235	1	2	2	42	6	2	3	1	2	4	3	1522.52957441114
3064462	235	1	1	1	42	6	1	3	1	2	7	2	1664.16513417388
3064462	235	1	2	2	43	6	2	3	1	2	7	3	1664.16513417388
3064462	235	1	3	2	17	6	3	6	1	1	6	3	1664.16513417388
3064462	235	1	4	2	13	6	3	6	1	1	4	2	1664.16513417388
3064463	235	1	1	1	69	6	1	4	1	2	3	3	1529.83642127404
3064464	235	1	1	2	78	6	1	5	1	2	3	2	832.35003734617
3064464	235	1	2	2	55	6	3	6	2	2	1		832.35003734617
3064464	235	1	3	2	47	6	3	4	1	2	4	2	832.35003734617
3064465	235	1	1	1	62	6	1	3	1	2	5	2	1261.00710385962
3064465	235	1	2	2	63	6	2	3	1	2	3	5	1261.00710385962
3064465	235	1	3	1	30	6	3	6	1	2	6	2	1261.00710385962
3064466	235	1	1	2	38	6	1	4	1	1	6	1	2006.88582010608
3064466	235	1	2	2	20	6	3	6	1	1	6	1	2006.88582010608
3064466	235	1	3	1	17	6	3	6	1	2	4	2	2006.88582010608
3064466	235	1	4	1	14	6	3	6	1	1	4	2	2006.88582010608
3064467	235	1	1	1	36	6	1	2	1	2	5	2	1522.52957441114
3064467	235	1	2	2	40	6	2	2	1	2	6	2	1522.52957441114
3064468	235	1	1	1	58	5	1	3	1	2	4	4	832.35003734617
3064468	235	1	2	2	55	6	2	3	1	2	5	2	832.35003734617
3064468	235	1	3	1	26	5	3	1	1	2	6	3	832.35003734617
3064468	235	1	4	2	28	6	5	1	1	2	6	3	832.35003734617
3064468	235	1	5	2	82	5	5	5	1	2	3	2	832.35003734617
3064469	235	1	1	1	51	6	1	2	1	2	5	2	1926.04276293783
3064469	235	1	2	2	50	6	2	2	1	2	5	2	1926.04276293783
3064469	235	1	3	1	23	6	3	6	1	2	5	2	1926.04276293783
3064469	235	1	4	2	20	6	3	6	1	1	6	3	1926.04276293783
3064469	235	1	5	2	12	6	3	6	1	1	3	4	1926.04276293783
3064470	235	1	1	2	55	6	1	4	1	2	4	4	1547.53159432754
3064470	235	1	2	1	16	6	3	6	1	1	4	4	1547.53159432754
3064471	235	1	1	1	52	6	1	3	1	2	4	4	1522.52957441114
3064471	235	1	2	2	47	6	2	3	1	2	4	3	1522.52957441114
3064472	235	1	1	1	84	6	1	2	1	2	3	3	1221.12049353599
3064472	235	1	2	2	74	6	2	2	1	2	3	1	1221.12049353599
3064472	235	1	3	2	47	6	3	6	1	2	6	2	1221.12049353599
3064472	235	1	4	1	8								1221.12049353599
3064473	235	1	1	1	51	5	1	2	1	2	5	2	1522.75281851805
3064473	235	1	2	2	51	1	2	2	1	2	4	2	1522.75281851805
3064473	235	1	3	2	27	1	3	2	1	2	6	2	1522.75281851805
3064473	235	1	4	1	11								1522.75281851805
3064473	235	1	5	1	3								1522.75281851805
3064473	235	1	6	1	37	5	9	2	1	2	5	2	1522.75281851805
3064474	235	1	1	2	31	6	1	4	1	2	5	2	872.139534504743
3064474	235	1	2	1	4								872.139534504743
3064474	235	1	3	1	2								872.139534504743
3064474	235	1	4	1	0								872.139534504743
3064475	235	1	1	2	61	6	1	3	1	2	6	5	1379.07503895952
3064475	235	1	2	1	79	6	2	3	1	2	3	4	1379.07503895952
3064475	235	1	3	1	24	6	3	6	1	2	6	3	1379.07503895952
3064476	235	1	1	1	37	5	1	3	1	2	3	5	1486.32418938922
3064476	235	1	2	2	46	5	2	3	1	2	6	4	1486.32418938922
3064477	235	1	1	1	50	6	1	2	1	2	5	2	1997.62467357494
3064477	235	1	2	2	51	6	2	2	1	2	5	2	1997.62467357494
3064477	235	1	3	1	22	6	3	6	1	2	6	2	1997.62467357494
3064477	235	1	4	1	17	6	3	6	1	1	5	1	1997.62467357494
3064478	235	1	1	2	78	6	1	4	1	2	3	5	1362.67728829218
3064478	235	1	2	1	49	5	3	4	1	2	3	5	1362.67728829218
3064479	235	1	1	2	68	6	1	5	1	2	5	2	1888.47182289388
3064479	235	1	2	1	36	6	3	4	1	2	5	2	1888.47182289388
3064479	235	1	3	2	13	6	4	6	1	1	4	1	1888.47182289388
3064479	235	1	4	2	11								1888.47182289388
3064479	235	1	5	1	10								1888.47182289388
3064479	235	1	6	1	57	6	5	4	1	2	3	3	1888.47182289388
3064480	235	1	1	2	85	5	1	5	1	2	3	5	1008.69584198909
3064480	235	1	2	2	36	5	3	6	1	2	7	7	1008.69584198909
3064481	235	1	1	2	26	5	1	2	1	2	5	2	1891.43644662847
3064481	235	1	2	1	27	5	2	2	1	2	3	5	1891.43644662847
3064481	235	1	3	1	8								1891.43644662847
3064481	235	1	4	2	0								1891.43644662847
3064481	235	1	5	2	58	6	5	5	1	2	3	5	1891.43644662847
3064481	235	1	6	1	19	6	5	6	1	1	5	2	1891.43644662847
3064481	235	1	7	1	54	6	5	6	2	2	1		1891.43644662847
3064482	235	1	7	2	6								1203.19883769122
3064482	235	1	8	1	4								1203.19883769122
3064482	235	1	9	1	42	5	9	2	1	2	4	4	1203.19883769122
3064482	235	1	1	1	62	5	1	2	1	2	3	2	1203.19883769122
3064482	235	1	2	2	58	5	2	2	1	2	3	5	1203.19883769122
3064482	235	1	3	2	34	5	3	2	1	2	4	4	1203.19883769122
3064482	235	1	4	2	6								1203.19883769122
3064482	235	1	5	1	4								1203.19883769122
3064482	235	1	6	2	0								1203.19883769122
3064483	235	1	1	1	53	6	1	2	1	2	3	5	2007.13508256629
3064483	235	1	2	2	52	6	2	2	1	2	4	4	2007.13508256629
3064483	235	1	3	1	25	6	3	6	2	1	3	3	2007.13508256629
3064483	235	1	4	2	12	6	4	6	1	1	4	0	2007.13508256629
3064483	235	1	5	1	10								2007.13508256629
3064484	235	1	1	2	39	5	1	4	1	2	6	1	1864.0776060815
3064484	235	1	2	1	13	5	3	6	1	1	4	2	1864.0776060815
3064484	235	1	3	1	12	5	3	6	1	1	4	1	1864.0776060815
3064484	235	1	4	1	10								1864.0776060815
3064484	235	1	5	2	63	5	5	4	1	2	3	2	1864.0776060815
3064485	235	1	2	2	34	6	2	2	1	2	5	2	1661.54253868966
3064485	235	1	3	1	6								1661.54253868966
3064485	235	1	4	1	1								1661.54253868966
3064485	235	1	1	1	37	5	1	2	1	2	5	2	1661.54253868966
3064486	235	1	1	1	36	6	1	2	1	2	3	5	1799.69407244402
3064486	235	1	2	2	31	6	2	2	1	2	6	3	1799.69407244402
3064486	235	1	3	2	13	6	3	6	1	1	4	2	1799.69407244402
3064486	235	1	4	2	7								1799.69407244402
3064487	235	1	1	2	68	6	1	5	2	2	1		1685.3118302025
3064487	235	1	2	1	35	6	3	6	1	2	4	3	1685.3118302025
3064487	235	1	3	2	37	6	3	4	1	2	6	2	1685.3118302025
3064487	235	1	4	2	8								1685.3118302025
3064487	235	1	5	1	17	6	4	6	1	1	5	1	1685.3118302025
3064487	235	1	6	2	15	5	4	6	1	1	4	4	1685.3118302025
3064488	235	1	1	1	47	5	1	3	1	2	5	2	1486.32418938922
3064488	235	1	2	2	40	5	2	3	1	2	5	2	1486.32418938922
3064489	235	1	1	2	43	5	1	2	1	2	3	3	2351.21636247297
3064489	235	1	2	1	45	6	2	2	1	2	4	3	2351.21636247297
3064489	235	1	3	2	23	6	3	6	1	2	6	2	2351.21636247297
3064489	235	1	4	1	7								2351.21636247297
3064489	235	1	5	1	7								2351.21636247297
3064489	235	1	6	1	26	5	3	4	1	2	4	3	2351.21636247297
3064490	235	1	1	1	89	6	1	3	2	2	1		1123.42479686666
3064490	235	1	2	2	82	6	2	3	1	2	3	5	1123.42479686666
3064491	235	1	1	2	52	6	1	4	1	2	6	3	1555.45793959386
3064491	235	1	2	2	22	6	3	2	1	2	6	3	1555.45793959386
3064491	235	1	3	1	26	6	5	2	1	2	6	3	1555.45793959386
3064492	235	1	2	2	34	5	2	3	1	2	6	3	2074.64160214606
3064492	235	1	3	1	8								2074.64160214606
3064492	235	1	4	2	5								2074.64160214606
3064492	235	1	1	1	42	5	1	3	1	2	6	3	2074.64160214606
3064493	235	1	1	1	32	5	1	2	1	2	6	2	1621.95890240591
3064493	235	1	2	2	30	5	2	2	1	2	6	2	1621.95890240591
3064493	235	1	3	2	3								1621.95890240591
3064493	235	1	4	2	1								1621.95890240591
3064494	235	1	1	2	48	6	1	3	1	2	6	5	1504.85350710025
3064494	235	1	2	1	50	6	2	3	1	2	5	2	1504.85350710025
3064494	235	1	3	1	19	6	3	6	1	1	6	2	1504.85350710025
3064494	235	1	4	1	14	6	3	6	1	1	4	3	1504.85350710025
3064494	235	1	5	2	46	6	5	4	1	2	6	5	1504.85350710025
3064494	235	1	6	2	46	6	5	4	1	2	6	3	1504.85350710025
3064495	235	1	1	1	82	6	1	3	2	2	1		1123.42479686666
3064495	235	1	2	2	77	5	2	3	1	2	3	5	1123.42479686666
3064496	235	1	1	1	37	6	1	3	1	2	6	2	1899.53921950054
3064496	235	1	2	2	35	6	2	3	1	2	5	2	1899.53921950054
3064496	235	1	3	2	12	6	3	6	1	1	4	1	1899.53921950054
3064496	235	1	4	1	8								1899.53921950054
3064497	235	1	1	2	39	6	1	3	1	2	6	2	1799.69407244402
3064497	235	1	2	1	39	6	2	3	1	2	6	2	1799.69407244402
3064497	235	1	3	2	13	6	3	6	1	1	4	3	1799.69407244402
3064497	235	1	4	2	11								1799.69407244402
3064498	235	1	1	1	57	1	1	2	1	2	4	4	1231.0206599324
3064498	235	1	2	2	56	5	2	2	1	2	6	3	1231.0206599324
3064498	235	1	3	1	31	5	3	6	1	2	5	2	1231.0206599324
3064499	235	1	1	2	38	6	1	3	1	2	4	2	1661.54253868966
3064499	235	1	2	1	45	6	2	3	1	2	6	3	1661.54253868966
3064499	235	1	3	1	11								1661.54253868966
3064499	235	1	4	1	3								1661.54253868966
3064500	235	1	1	1	29	6	1	6	1	2	4	1	1732.70977262656
3064501	235	1	1	1	35	6	1	2	1	2	5	2	1593.92005245496
3064501	235	1	2	2	25	5	2	2	1	1	5	2	1593.92005245496
3064501	235	1	3	1	31	6	9	6	1	1	5	2	1593.92005245496
3064502	235	1	1	1	82	5	1	1	1	2	6	3	812.556954780411
3064502	235	1	2	2	81	5	2	1	1	2	6	3	812.556954780411
3064502	235	1	3	2	52	5	3	4	1	2	6	4	812.556954780411
3064502	235	1	4	2	28	5	4	4	1	2	6	0	812.556954780411
3064502	235	1	5	1	5								812.556954780411
3064502	235	1	6	1	1								812.556954780411
3064502	235	1	7	1	2								812.556954780411
3064502	235	1	8	2	24	5	9	1	1	2	5	2	812.556954780411
3064503	235	1	1	2	49	5	1	6	2	2	1		1620.81500878644
3064503	235	1	2	2	26	5	3	6	1	1	6	3	1620.81500878644
