DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P271	P262	P5475	P254	P254S1	P254S2	P5470	P5470S1	P5471	P5471S1	P5472	P5472S1	P5473	P5473S1	P5474S1	P5474S2	P5474S3	P5474S4	P5474S5	P5474S6	P5474S7	P5474S8	P5474S9	P5476	P5476S1	P5476S2	P5476S3	P5476S4	P5476S5	P5477	P5477S1	P5478	P5478S1	P1701S1	P1701S2	P1701S3	P1701S4	P1701S5	P1701S6	P1701S7	P1702	P1703	P1704	P1705	P5479	P5479S1	P5480	P5480S1	P5481	P5481S1	P5482	P5482S1	P5483	P5483S1	P5484	P5484S1	FEX_P
3064620	235	1	3	6	3	1	1	3	2	2		2		2		2		2	2	2	1	1	2	2	2	2	1	1	1	0	1	0	2		2									1	3	1	1	2		1	2	1	2	1	2	2		1	2	1656.8998637983
3064620	235	1	4	6	3	1	1	3	1	2		2		2		2		2	2	2	1	2	2	2	2	2	1	2	1	1	1	0	2		2									1	3	1	2	2		2		2		1	2	2		1	1	1656.8998637983
3064622	235	1	4	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	2	2	2	0	2		2									1	3	1	1	2		2		1	1	2		2		2		1297.36477349648
3064625	235	1	5	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	2				2		1	3	1	3	1	3	2		1	2	1712.81261069928
3064640	235	1	6	6	5	1	1	3	5	2		2		2		2		2	2	2	1	2	2	2	2	2	2						2		2		2	1	2	2	2	2	2	1	2	1	2	1	2	1	2	1	2	1	2	2		2		1277.73900138783
3064641	235	1	4	6	3	1	1	3	1	1	3	2		1	3	2		2	2	2	2	2	2	2	2	2	1	1	2	2	2	0	1	2	2									2		1	1	1	2	1	3	1	1	1	3	2		2		1613.27964305395
3064650	235	1	4	6	3	1	1	2	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	4	2	4	0	2		2									1	3	1	3	2		2		1	1	1	3	2		2		1915.99729448308
3064673	235	1	4	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	1	1	2	2	2	0	2		1	4								1	3	1	2	2		1	3	1	1	1	4	2		2		786.265933299222
3064678	235	1	3	6	3	1	1	3	3	1	5	1	4	1	4	1	4	2	2	2	2	1	2	2	2	1	1	4	2	1	2	0	1	4	2									1	3	1	3	1	2	1	2	1	1	1	4	1	3	1	3	730.632388386299
3064684	235	1	5	6	3	1	1	3	1	1	3	2		2		2		2	2	2	1	1	2	2	2	1	1	1	4	1	4	0	2		2									1	3	1	1	1	5	2		1	1	1	3	2		2		878.888395337966
3064694	235	1	4	6	3	2	1	2	2	2		2		2		1	4	2	2	2	2	2	2	2	2	2	2						2		2		2	2	2	2	2	2	1	1	2	2		2		1	2	1	2	1	3	2		1	2	760.105595089112
3064699	235	1	4	6	3	1	1	3	4	2		2		2		1	4	2	2	2	1	1	2	1	2	2	1	2	6	4	6	0	2		2									1	1	1	2	1	4	1	2	1	1	2		2		2		798.683294571625
3064700	235	1	4	6	4	1	1	3	2	2		2		2		1	4	2	2	2	2	2	2	2	2	2	1	2	1	1	1	0	1	3	2									2		1	2	2		2		1	2	2		1	2	1	3	702.898720701495
3064700	235	1	5	6	4	1	1	3	0	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	1	2	2	2	2	2	1	3	1	1	2		2		1	2	2		1	2	2		702.898720701495
3064703	235	1	3	6	3	1	1	3	3	2		2		2		1	5	2	2	2	2	1	1	2	2	1	1	1	19	1	19	0	2		1	4								1	3	1	1	2		1	2	1	1	1	3	2		1	2	835.893214059854
3064703	235	1	4	6	3	1	1	2	3	2		2		1	5	1	5	2	2	2	2	1	1	2	2	1	1	1	22	3	22	0	2		2									1	3	1	1	2		1	3	1	1	1	3	2		1	3	835.893214059854
3064709	235	1	4	6	3	1	1	3	3	2		2		2		1	4	2	2	2	1	1	2	2	1	1	1	1	4	4	4	0	2		2									1	1	1	2	1	4	2		1	1	2		2		2		806.660436346471
3064709	235	1	5	6	3	1	1	3	2	2		2		2		1	4	2	2	2	2	1	2	2	1	1	1	2	6	4	6	0	2		2									1	1	1	1	1	4	2		1	1	2		2		2		806.660436346471
3064710	235	1	2	6	3	1	1	3	3	1	3	2		1	5	2		2	2	2	2	2	2	2	2	1	1	2	5	5	5	0	2		2									1	4	2		2		1	1	1	1	1	1	2		1	1	810.83748915264
3064712	235	1	2	6	3	1	1	3	4	1	1	2		1	2	2		2	1	1	1	1	2	2	1	2	1	2	10	8	10	0	1	3	1	3								1	3	1	2	1	3	1	1	1	1	1	2	2		1	1	1686.9727109063
3064715	235	1	4	6	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	1	2	2	1	5	1	1	1	0	2		2									2		2		1	5	1	3	1	1	2		2		2		1453.77858749961
3064724	235	1	3	6	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	2	1	1	1	0	2		2									1	3	1	2	2		2		1	1	2		2		2		1599.72334136027
3064725	235	1	2	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	1	2	2	1	5	1	1	1	0	2		2									1	3	1	5	2		1	2	1	1	1	3	1	1	2		1440.9215320959
3064729	235	1	5	6	4	1	1	3	2	1	3	2		2		2		2	2	1	2	2	2	1	1	2	2						2		1	3								1	4	1	1	2		1	1	1	1	1	2	2		2		2020.57150555557
3064736	235	1	4	6	3	1	1	3	3	1	5	1	5	2		2		2	2	1	1	1	2	1	2	1	1	2	6	6	6	0	2		2									2		1	3	1	2	1	3	1	1	1	2	2		1	3	1748.98404972772
3064741	235	1	3	6	3	1	1	3	2	1	4	2		2		2		2	2	2	2	2	2	2	1	2	1	2	4	4	4	0	2		1	2								2		1	2	1	4	2		1	3	2		2		1	3	1034.73633539222
3064742	235	1	4	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		1	2	2	2	2	2	2	1	3			2		2		1	1	2		2		1	1	1358.20153907533
3064742	235	1	5	6	3	1	1	2	0	2		2		2		2		2	2	2	2	2	2	2	2	2	2						2		2		2	2	2	2	2	2	1	1	3	1	1	2		2		1	1	2		2		2		1358.20153907533
3064745	235	1	4	6	3	1	1	3	1	2		2		2		1	4	1	2	2	2	2	2	2	2	2	1	2	1	1	1	0	2		1	3								2		1	2	2		1	2	1	1	2		1	2	1	2	1152.23743563158
3064745	235	1	5	6	3	2	1	2	0	2		2		2		1	4	1	2	2	2	2	2	2	2	2	2						2		2		2	2	2	2	2	2	1	1	3	2		2		1	2	1	1	2		1	1	1	2	1152.23743563158
3064752	235	1	3	6	4	1	1	3	5	2		2		2		2		2	2	2	2	2	2	2	2	2	1	6	1	1	1	0	2		2									2		1	3	2		2		1	3	2		1	2	2		935.647911251244
3064753	235	1	3	6	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	1	6	2	2	2	0	1	4	1	2								2		1	2	2		1	3	1	1	1	1	2		1	1	805.977885024618
3064753	235	1	4	6	3	1	1	3	1	2		2		2		2		2	2	2	2	2	2	2	2	2	1	6	1	1	1	0	2		1	2								2		1	1	2		1	2	1	1	1	1	2		1	2	805.977885024618
3064754	235	1	2	6	3	1	1	3	4	2		1	5	2		2		2	2	2	2	2	2	2	2	2	1	2	3	3	3	0	2		2									1	3	1	1	2		1	3	1	1	2		2		1	2	1083.96226549171
