DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	P6008	P6007	P6007S1	FEX_P
366767280	234	1	5	2		2470.47444511767
366680760	234	1	3	2		1803.99070428562
366673560	234	1	3	2		1349.31669034924
366675240	234	1	6	2		1472.34910287114
366736800	234	1	5	2		1405.66770287068
366729360	234	1	6	2		1832.11704713618
366707640	234	1	4	2		584.473703624535
366764880	234	1	5	2		1163.66639000641
366705000	234	1	3	2		986.764115705304
366742680	234	1	9	2		2398.5640261589
366727320	234	1	3	2		1220.79239315759
366743040	234	1	4	2		1761.22012717274
366761280	234	1	3	2		769.669667168061
366724440	234	1	2	1	1	1281.61968343402
366731880	234	1	1			1369.38991479266
366765120	234	1	5	2		2305.99359440253
366764400	234	1	4	2		626.723515516501
366708720	234	1	1			785.022143680089
366747960	234	1	4	2		2221.47339039669
366812760	234	1	3	2		1668.28730037681
366819960	234	1	1			1627.25966265606
366845160	234	1	4	2		977.316573752437
366831480	234	1	2	2		1513.50578010899
366820560	234	1	8	2		1051.01182820998
366861840	234	1	5	2		1793.03331410627
366820320	234	1	5	2		951.151273839465
366888000	234	1	4	2		2944.72873266159
366812400	234	1	1			1627.25966265606
366909480	234	1	2	2		1471.09578801266
366935760	234	1	2	2		681.979516591557
366877440	234	1	2	2		769.86541318169
366891360	234	1	5	2		3801.97088469383
366814440	234	1	2	2		1621.10199785705
366843960	234	1	4	2		2166.06974339505
366935400	234	1	1			950.200738328416
366868320	234	1	5	2		1394.65194916691
366850440	234	1	1			785.022143680089
366901800	234	1	3	2		1312.35558932041
366913680	234	1	4	2		1367.46850471941
366871920	234	1	3	2		1063.70089570631
366842280	234	1	5	2		1045.320432852
366866760	234	1	3	2		1465.7773358712
366797520	234	1	2	2		1583.81984895719
366835680	234	1	3	2		2678.34133545362
366835680	234	2	3	2		2678.34133545362
366874200	234	1	4	2		842.067471621389
366966240	234	1	2	2		118.759152202861
366841200	234	1	4	2		662.470922955319
366969000	234	1	4	2		135.496833554791
366940920	234	1	4	2		1236.31211975586
366960480	234	1	3	2		1697.08911360165
366956880	234	1	6	2		594.914985590779
366969840	234	1	1			132.377333514799
366875400	234	1	5	2		892.185970642497
366802080	234	1	4	2		1583.81984895719
366915360	234	1	7	2		567.153315068439
366928920	234	1	8	2		681.979516591557
366896160	234	1	3	2		1099.86923175972
366894360	234	1	3	2		3718.48902076501
366831360	234	1	4	2		170.105533814676
366838920	234	1	3	2		914.040964054414
366880560	234	1	4	2		1798.56527986197
366879960	234	1	4	2		1476.45996973389
366848520	234	1	1			2040.95520158948
366848520	234	2	1			2040.95520158948
366782640	234	1	2	2		1545.31069707215
366854160	234	1	2	2		3816.15916737452
366836640	234	1	5	2		3013.13400238532
366868560	234	1	4	2		1559.32008120762
366855240	234	1	6	2		2688.22386265512
366923040	234	1	2	2		436.65066753943
366849360	234	1	3	2		999.231613787766
366779400	234	1	5	2		1708.27899015087
366864480	234	1	9	2		1575.07431205909
366924720	234	1	4	2		407.315030483555
366860160	234	1	4	2		2039.69002963428
366934680	234	1	4	2		681.979516591557
366782040	234	1	5	2		1422.96383437238
366968520	234	1	7	2		125.984244092748
366894960	234	1	4	2		651.826383226057
366803880	234	1	4	2		2058.5671234759
366890760	234	1	1			4059.72790606761
366911160	234	1	3	2		1884.16026781371
366810600	234	1	2	2		1621.10199785705
366959160	234	1	3	2		157.319781077351
366892440	234	1	3	2		2761.01951152312
366923640	234	1	3	2		608.394770877306
366786960	234	1	6	2		1384.49687171079
366945120	234	1	3	2		1338.5527563913
366862800	234	1	3	2		2250.99688795246
366867120	234	1	4	2		1726.65196224701
366800640	234	1	3	2		1693.22441380379
366951480	234	1	4	2		166.775806440395
366824040	234	1	3	2		1335.56841494077
366960960	234	1	3	2		172.190808103169
366944520	234	1	1			1248.21326697878
366841320	234	1	6	2		713.957069361
366952680	234	1	3	2		182.405710113541
366811320	234	1	2	2		1689.40783888767
366934200	234	1	4	2		1514.44479451999
366780720	234	1	5	2		1468.69129290072
366952920	234	1	1			189.994789834758
366915120	234	1	2	2		758.096695476958
366972000	234	1	2	2		127.941852932182
366972000	234	2	1			127.941852932182
366796440	234	1	3	2		1148.81080162991
366908280	234	1	5	2		999.721198183307
366830880	234	1	3	2		903.352417138434
366810360	234	1	3	2		1493.19473273854
366876240	234	1	5	2		970.690071236093
366943680	234	1	4	2		1126.67335755539
366821760	234	1	2	2		1335.56841494077
366922200	234	1	3	2		608.394770877306
366784080	234	1	4	2		1889.1476712072
366973440	234	1	4	2		621.558394009381
366848160	234	1	2	2		2968.12379684685
366959760	234	1	5	2		196.59937057013
366799440	234	1	2	2		1493.19473273854
366897000	234	1	1			898.535331863012
366884160	234	1	3	2		1703.50469953023
366825360	234	1	3	2		155.529602468353
366914760	234	1	2	1	1	771.027148544987
366919080	234	1	2	2		1995.03312922921
366846840	234	1	2	2		674.014163833972
366839160	234	1	5	2		930.569956751393
366792600	234	1	4	2		1347.68191315257
366968160	234	1	4	2		1638.91382420199
366851760	234	1	4	2		1375.80824192918
366815760	234	1	1			1703.79045925145
366838800	234	1	3	2		917.137723619026
366855720	234	1	3	2		1573.49587043055
366954360	234	1	4	2		135.496833554791
366803280	234	1	1			1627.25966265606
366781080	234	1	5	2		1649.55997395706
366935880	234	1	1			950.200738328416
366813840	234	1	2	2		2431.65299678557
366942960	234	1	5	2		1188.60368607996
366930000	234	1	4	2		2135.66079951824
366788640	234	1	4	2		1648.43504719058
366933000	234	1	4	2		681.979516591557
366832080	234	1	1			135.18282096373
366972480	234	1	2	2		849.765779333211
366817200	234	1	3	2		1721.6302676956
366953280	234	1	2	2		230.981937417965
366805800	234	1	2	2		1621.10199785705
366871800	234	1	5	2		1191.86148382429
366923400	234	1	2	2		665.257743115385
366923400	234	2	3	1	2	665.257743115385
366923400	234	3	3	2		665.257743115385
366957840	234	1	1			599.555220414476
366878280	234	1	4	2		742.916475156688
366885600	234	1	1			1094.56666559375
366921360	234	1	5	2		393.567694379879
366942600	234	1	3	2		1285.42356928226
366906360	234	1	4	2		1394.82945052426
366798960	234	1	3	2		1668.28730037681
366974760	234	1	3	2		1666.50598100244
366900480	234	1	5	2		1536.76921694339
366787080	234	1	2	2		1339.81597082912
366926880	234	1	3	2		681.979516591557
366818640	234	1	3	2		1690.35234016947
366843600	234	1	3	2		1847.37667646298
366784800	234	1	3	2		1658.89372165211
366816960	234	1	1			1536.63454643742
366858120	234	1	5	2		3134.5804285721
366883080	234	1	6	2		1150.80220968207
366888240	234	1	4	2		2944.72873266159
366803640	234	1	3	2		1390.37658908224
366779280	234	1	6	2		1419.9915742241
366808440	234	1	4	2		1583.81984895719
366874800	234	1	2	2		485.432298992723
366863400	234	1	4	2		1451.32175265627
366873120	234	1	3	2		787.458516256481
366933600	234	1	3	2		814.927154837023
366868080	234	1	3	2		1481.83241848515
366794160	234	1	5	1	3	1431.40422680299
366878520	234	1	4	2		2164.20367365289
366878520	234	2	1			2164.20367365289
366828960	234	1	2	2		170.105533814676
366862920	234	1	1			2589.31273048476
366830760	234	1	5	2		1129.08863900769
366862080	234	1	2	2		1281.61968343402
366839040	234	1	3	2		1137.62778549303
366839040	234	2	1			1137.62778549303
366882840	234	1	6	2		1578.39125797219
366947880	234	1	2	2		1285.66890153015
366787680	234	1	3	2		1330.75379090722
366831840	234	1	1			1386.55653451488
366913440	234	1	6	2		2182.03300694302
366783960	234	1	4	2		1649.55997395706
366956040	234	1	3	2		147.487294760017
366838440	234	1	5	2		636.576597174558
366860040	234	1	4	2		1821.00551853811
366904920	234	1	2	2		707.314474638607
366853200	234	1	3	2		3209.03422609186
366801480	234	1	6	2		1696.96990262467
366917400	234	1	2	2		1967.7053116107
366782520	234	1	3	2		1468.69129290072
366921120	234	1	4	2		600.817706495262
366933120	234	1	4	2		1163.66639000641
366924120	234	1	5	2		635.898620629939
366822480	234	1	5	2		801.37617799021
366838320	234	1	3	2		1162.42144628021
366864000	234	1	4	2		1917.91566991377
366817680	234	1	2	2		1763.61333351859
366970200	234	1	1			111.204171580252
366939960	234	1	5	2		1327.70608614089
366787800	234	1	2	2		1343.69750826008
366842400	234	1	2	2		839.757251432585
366952080	234	1	3	2		139.175993903688
366818040	234	1	4	2		1693.22441380379
366838560	234	1	3	2		823.842673426692
366960600	234	1	4	2		138.230880606513
366967320	234	1	2	2		594.914985590779
366911640	234	1	7	2		2008.43022755795
366827640	234	1	1			184.681465161
366878880	234	1	2	2		978.702652224788
366918120	234	1	4	2		1606.01109026193
366918120	234	2	2	2		1606.01109026193
366802800	234	1	1			1627.25966265606
366828600	234	1	5	2		221.489811871541
366965040	234	1	4	2		174.647098510279
366842520	234	1	2	2		601.517067041447
366856680	234	1	7	2		1255.25656025043
366832680	234	1	6	2		96.1526290874656
366907560	234	1	1			1216.82372574532
366814680	234	1	2	2		1583.81984895719
366947160	234	1	1			1282.47997315313
366879000	234	1	1			926.725593957866
366787560	234	1	1			1262.61881384662
366904560	234	1	5	2		1154.95964085527
366966840	234	1	2	2		169.194767228731
366878760	234	1	3	2		1178.14201714887
366831960	234	1	4	2		140.953671122029
366811200	234	1	1			1597.21162532469
366837840	234	1	2	2		561.678469861643
366905640	234	1	2	2		1061.58528307336
366885960	234	1	2	2		1358.98155883599
366926040	234	1	4	2		1179.09471837283
366900360	234	1	4	2		2373.19551764581
366912480	234	1	3	2		2055.44756488769
366863160	234	1	3	2		4051.79439831442
366947280	234	1	4	2		1454.80387232513
366814080	234	1	3	2		1755.44367613062
366912840	234	1	7	2		1331.41106375496
366929280	234	1	5	2		1237.88968600276
366813360	234	1	3	2		1410.50627134414
366963960	234	1	4	2		94.0937419486023
366902400	234	1	3	2		1208.08073496043
366823200	234	1	2	2		162.606927275434
366946680	234	1	4	2		953.354838894752
366903840	234	1	4	2		760.843805073436
366805080	234	1	1			1627.25966265606
366866280	234	1	3	2		1465.61193691945
366848280	234	1	4	2		1010.36498729182
366893400	234	1	3	2		4948.2369034899
366907200	234	1	2	2		990.569971068735
366788280	234	1	4	2		1678.3690860318
366849840	234	1	2	2		601.517067041447
366816720	234	1	2	2		1583.81984895719
366883800	234	1	2	2		1006.47581163722
366934920	234	1	4	2		2864.31396968454
366958800	234	1	3	2		201.962392752315
366919440	234	1	4	2		1769.87252483531
366792240	234	1	2	2		1406.03205964599
366830280	234	1	2	2		160.921493518548
366937680	234	1	6	2		648.396002024292
366917880	234	1	5	2		2416.09702360973
