Directorio	Nro_encuesta	Hogarnmero	Personanmero	P5485	P5485s1	P5486	P5486s1	P5487	P5487s1	P5488	P5488s1	P5489	P5489s1	P5490	P5490s1	P5491	P5492s1	P5492s2	P5492s3	P5492s4	P5492s5	P5492s6	P5492s7	P5492s8	P5492s9	P5493	P5494	P5495s1	P5495s2	P5495s3	P5495s4	P5495s5	P5495s6	P5495s7	P5495s8	P5495s9	P5496	P5497	P5497s1a1	P5497s1a2	P5497s1a3	P5497s1a4	P5497s1a5	P5497s1a6	P5497s1a7	P5498	P5498s1	P5499s1	P5499s2	P5499s3	P263	P264	P265	P267	P266	P255s1	P255s2	P255s3	P255s4	P255s5	P268	P256s1	P256s2	P256s3	P256s4	P256s5	P257s1	P257s2	P257s3	P257s4	P257s5	P257s6	Fex_c
303920900	209	1	3	1	3	2		2		2		2		2		2											1	2	2	2	2	2	2	2	1	2	1	1	1	2	2	2	2	2	2	1	2	2	1	2	2		1	3		1	2	2	2	2	2	2	1	2	2	2	1	2	1	1	2	1	1763.83302006973
303920900	209	1	4	2		2		1	5	2		2		1	5	1	2	2	1	2	1	2	2	1	2	1	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	1	3	2	1	2	2		1	1		1	1	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	1763.83302006973
303920900	209	1	5	2		2		2		1	5	2		1	4	2											1	2	1	1	2	1	2	2	2	2	1	1	1	2	2	1	1	1	1	1	5	2	1	2	2		1	2		1	1	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1763.83302006973
303921300	209	1	8	1	2	2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	2					2		1	3		2	1	2	2	2	2	1	2	2	1	2	1	2	2	2	2	2	1472.84482863362
303921300	209	1	9	2		2		2		2		2		2		2											2											2								1	1	2	1	2	1	3	1	1		1	1	2	2	2													1472.84482863362
303921500	209	1	4	2		2		2		2		2		2		2											2											1	2	1	2	2	2	1	2	1	2	1	1	2	1	3	2		2						2	2	2	2	1	2	1	2	2	1	1	1	793.029474397312
303921500	209	1	5	1	2	2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	2	1	1	2	1	3	1	2		1	1	2	2	2	2	2	2	2	1	2	1	2	2	2	1	1	793.029474397312
303921600	209	1	4	2		2		2		2		2		2		2											2											2								1	1	1	2	1	1	2	1	1		1	1	2	2	2													1549.87983994757
303921700	209	1	3	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	2	1	1	1	1	5	2		2						2	1	1	2	2	2	1	2	2	2	1	1	1063.74382328523
303921700	209	1	4	2		2		2		2		2		2		2											2											1	2	1	2	2	2	1	2	1	2	1	1	2	1	3	99								2	2	1	2	2	2	2	2	1	2	1	1	1063.74382328523
303921800	209	2	2	2		2		2		2		2		2		2											1	2	2	1	2	2	2	2	1	2	2	2								1	3	2	1	2	2		1	2		1	1	2	2	2													1138.42313093995
303921800	209	2	3	2		2		2		2		2		2		2											1	2	2	1	2	2	2	2	1	2	2	2								1	3	2	1	2	2		1	2		1	1	2	2	2													1138.42313093995
303921800	209	2	4	2		2		2		2		2		2		2											2											2								1	3	2	1	2	2		1	2		1	1	2	2	2													1138.42313093995
303922000	209	1	5	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	2					1	3	2		1						3	2	2	2	1	2	2	2	2	2	2	1	702.054036901239
303922200	209	1	5	2		2		2		2		2		2		2											2											1	1	1	2	2	2	1	1	1	2	1	2	2	1	3	1	2		1	1	2	2	2	3	2	2	2	2	1	1	2	1	1	2	1	1277.91351834312
303922400	209	1	3	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	1	1	1	1	1	3	1	2		2	1	2	2	2	2	2	1	2	1	2	2	2	1	1	1	1	1291.55776882469
303922600	209	1	3	2		2		2		2		2		2		2											2											2								1	1	2	1	2	1	3	1	1		1	1	2	2	2													1118.51882682535
303922700	209	1	3	1	3	2		2		2		2		2		1	2	2	2	2	2	2	2	1	2	1	2											1	1	2	2	2	2	1	1	1	2	1	1	2	1	2	1	1		1	1	2	2	2	1	2	1	2	2	2	1	1	1	2	2	1	1063.74382328523
303922700	209	1	4	2		2		2		2		2		2		1	2	2	2	2	2	1	2	1	2	1	1	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	2	1	1	2	1	3	1	1		1	2	2	2	2	1	2	1	2	2	2	1	2	1	2	2	1	1063.74382328523
303923100	209	1	2	2		2		2		2		2		2		2											2											2								2					1	3	1	2		1	1	2	2	2													632.382810163012
303923100	209	1	3	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	2	2	1	1	2		1	2		1	1	2	2	2	5	2	1	2	2	2	2	2	2	2	2	1	632.382810163012
303923200	209	1	3	2		2		2		2		2		2		1	2	2	2	2	2	2	2	1	2	2	2											2								1	2	1	1	1	1	3	99																				1357.5093552281
303923300	209	1	4	2		2		2		2		2		2		2											2											1	1	2	2	2	2	1	2	2					1	2	1	2		1	1	2	2	2	4	2	2	2	1	2	1	2	1	2	2	1	1229.30701674979
303923600	209	1	3	2		2		2		2		2		2		2											2											2								1	3	2	1	2	1	3	1	1		1	2	2	2	2													1063.74382328523
303923600	209	1	4	1	2	2		2		2		2		2		2											2											1	2	2	2	2	1	2	2	1	3	2	1	2	2		1	1		2	1	2	2	2	3	1	2	2	2	2	1	2	2	2	2	2	1063.74382328523
303923700	209	1	4	2		2		2		2		2		2		1	2	2	2	2	2	1	2	1	2	2	2											1	2	2	2	2	1	2	2	1	3	2	1	2	2		2		2						3	1	2	2	1	2	1	2	2	2	2	2	1310.88931154482
303923800	209	1	5	2		2		2		2		2		2		1	2	2	2	2	2	2	2	1	2	2	2											1	2	2	2	2	2	1	2	1	3	2	1	2	2		1	1		1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1291.55776882469
303924300	209	1	3	1	5	2		1	4	2		2		2		2											2											2								2					1	5	2		3																		963.815447912372
303926600	209	1	4	2		2		2		2		2		2		2											2											2								2					1	3	1	3		1	1	2	2	2													1868.87750378462
303926600	209	1	5	2		2		2		2		2		2		2											2											1	2	2	2	2	1	2	2	2					1	3	2		2						3	2	1	2	2	2	1	2	2	2	2	2	1868.87750378462
303926800	209	1	5	1	5	2		2		2		2		2		2											2											1	2	2	2	2	2	1	1	1	3	2	2	1	1	5	2		2						2	2	2	2	1	2	2	2	2	1	1	1	1615.36694505632
303926900	209	1	4	2		2		2		1	5	1	3	2		2											1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	1	3	1	1	2	1	3	1	1		1	1	2	1	2	1	1	1	2	1	2	1	2	1	1	1	1	1771.88459823786
303927200	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	1	1	2	2	2					1	3	2		2						2	2	2	2	1	2	1	2	2	2	2	2	1342.91892171022
303927400	209	1	8	1	2	1	3	2		2		2		2		2											2											1	2	2	2	2	2	1	2	2					2		2		2						1	2	1	2	2	2	2	2	2	2	2	1	1255.88034832928
303928100	209	1	3	2		2		2		2		2		2		2											2											2								2					2		1	4		1	1	2	2	2													927.479056995358
303928300	209	1	3	1	1	2		2		2		2		2		2											1	2	2	2	2	1	2	2	1	2	2	2								1	1	1	1	1	1	3	1	2		1	1	1	2	2													1013.62207626788
303928600	209	1	4	1	2	2		2		2		2		2		2											2											1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	3		1	1	2	2	2	3	2	2	2	1	2	1	2	2	2	2	2	992.39315390299
303928800	209	1	2	2		2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	1	1	1	1	2	2		1	3		1	1	2	2	2	1	2	1	2	2	2	1	2	1	1	1	2	2611.80287793597
303929600	209	1	3	2		2		2		1	5	2		2		2											2											1	1	2	2	1	2	1	1	1	3	1	2	2	1	3	1	4		1	2	2	2	2	2	2	1	2	2	2	1	2	2	1	1	1	1715.03177111419
303929800	209	1	3	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	1	2					1	3	1	2		1	1	2	2	2	3	2	1	2	2	2	1	1	2	2	2	1	1475.65654681885
303930100	209	1	4	1	3	2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	2					2		1	2		1	1	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	3427.27638558625
303930200	209	1	4	2		2		2		2		2		2		2											2											2								1	3	2	1	2	2		1	3		1	1	2	2	2													1471.5012825962
303930800	209	1	3	1	2	2		2		2		2		2		2											2											2								1	3	1	1	2	2		1	3		1	1	2	2	2													2205.30853324555
303930800	209	1	4	2		2		2		2		2		2		2											2											2								1	3	1	1	2	1	3	2		5																		2205.30853324555
303931400	209	1	3	1	4	2		2		2		2		2		2											1	2	2	2	2	2	2	2	1	2	2	2								1	2	1	1	1	1	4	1	2		1	1	2	2	2													813.543861691849
303932100	209	1	3	1	1	2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	2	2	1	2	1	5	1	3		1	1	1	2	2	3	2	2	2	1	2	1	2	1	1	1	1	2021.64225177021
303932200	209	1	2	1	3	2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	1	1	2	2	1	3	1	3		1	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	1	1880.31657534334
303932600	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	2	1	2	2	1	5	2	1	2	1	3	1	1		1	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	1	2325.34020618557
303932600	209	1	5	2		2		2		2		2		2		2											2											2								2					1	3	2		99																		2325.34020618557
303932700	209	1	4	2		2		2		2		2		2		2											2											2								1	2	2	1	2	99		99																				2101.37458666609
303933100	209	1	3	1	3	2		2		2		2		2		2											2											1	2	2	2	2	1	2	2	1	1	1	1	2	1	3	1	2		1	1	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	1008.46320719469
303933200	209	1	3	2		2		2		2		2		2		2											2											2								1	3	2	1	2	99		99																				900.408258591355
303933200	209	1	4	2		2		2		2		2		2		2											2											2								1	3	2	1	2	99		99																				900.408258591355
303933300	209	1	6	2		2		2		2		2		2		1	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	1	3	1	2	2	1	3	1	1		1	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1214.99734481849
303933400	209	1	4	1	1	2		1	4	1	4	1	4	1	4	1	2	1	1	2	1	2	2	1	2	1	1	2	1	1	2	1	2	2	1	2	1	1	1	2	2	2	1	2	2	1	2	1	1	2	1	3	1	2		1	1	2	1	2	2	1	1	2	1	2	1	1	1	1	1	2	1335.08198174187
303933800	209	1	6	2		2		2		2		2		2		2											2											2								1	1	1	1	1	1	5	1	2		2	1	2	2	2													1434.6409575245
303933800	209	1	8	2		2		2		2		2		1	5	2											2											1	2	2	2	2	2	1	2	1	2	2	1	1	1	5	1	1		1	1	2	2	2	5	1	1	2	2	2	2	2	2	2	2	1	1434.6409575245
303934100	209	1	4	1	2	2		2		2		2		2		2											2											2								2					1	3	1	2		1	1	2	2	2													1300.10915572193
303934300	209	1	6	2		2		2		2		2		2		2											2											2								2					2		1	2		1	1	2	2	2													1269.43685062334
303934400	209	1	3	1	2	2		2		2		2		2		2											2											1	2	2	2	1	1	1	1	2					2		1	3		1	2	2	2	2	2	1	1	2	2	2	1	2	2	1	1	2	1444.57584870802
303934600	209	1	6	2		2		2		2		2		2		2											2											2								2					2		1	2		1	1	1	1	2													1449.70500530407
303934600	209	1	7	2		2		2		2		2		2		2											2											2								2					1	3	1	3		2	1	2	2	2													1449.70500530407
303934800	209	1	5	1	1	2		2		2		2		2		2											2											2								1	2	1	1	2	1	4	1	2		1	1	2	2	2													1366.38412561272
303934900	209	1	4	2		2		2		2		2		2		2											2											2								2					1	3	1	2		1	1	2	2	2													1549.96298267892
303935000	209	1	4	2		2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	1	1	1	1	1	1	3	1	2		1	1	2	1	2	2	2	2	2	1	2	1	2	2	1	2	1	1238.69745911387
303935000	209	1	5	2		2		2		2		2		2		2											2											1	2	2	2	1	2	2	2	1	2	1	1	2	2		2		1						5	2	1	1	1	2	1	2	2	1	1	2	1238.69745911387
303935000	209	1	6	2		2		2		2		2		2		2											2											2								1	1	1	1	1	1	2	99																				1238.69745911387
303935100	209	1	5	2		1	4	2		1	5	2		2		2											2											2								1	1	1	1	2	1	3	2		1																		1594.18800082263
303935100	209	1	6	2		2		2		1	5	2		2		2											2											2								1	2	1	1	2	1	3	2		99																		1594.18800082263
303935300	209	1	3	1	1	2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	2	1	1	1	2		1	2		1	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	1400.11755231593
303935400	209	1	5	2		2		2		2		2		2		2											2											2								1	2	2	1	2	1	2	1	3		1	2	2	2	2													1495.82811881076
303935600	209	1	3	2		2		2		2		2		2		2											2											1	2	2	2	1	2	2	2	1	1	1	1	1	1	3	1	1		1	1	2	1	2	2	2	2	2	1	2	2	2	1	2	2	2	1243.31576245381
303935600	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	2	1	1	1	1	3	1	1		1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1243.31576245381
303935900	209	1	3	2		2		2		2		2		2		2											2											1	1	2	1	2	2	1	2	1	1	1	1	2	2		1	1		1	1	2	2	2	2	2	2	2	1	2	1	2	1	2	1	1	1300.10915572193
303936200	209	1	3	1	1	2		2		2		2		2		2											2											1	1	2	2	1	2	2	1	1	4	1	2	2	1	2	1	4		1	1	2	2	2	1	2	1	2	2	2	1	2	1	1	1	1	1715.03177111419
303936600	209	1	4	1	1	2		2		2		2		2		2											2											1	1	2	2	1	2	1	1	1	1	1	1	2	1	3	1	5		1	1	1	2	2	1	2	2	2	1	2	1	2	2	2	2	1	1350.90256706137
303936900	209	1	4	2		2		2		1	5	2		2		2											2											2								1	2	1	1	2	2		2		2																		6608.35102040816
303937600	209	1	5	2		2		2		2		2		2		2											1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2					1	3	1	1		1	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1091.21708372542
303937800	209	1	3	1	2	2		2		2		2		2		2											2											2								1	2	1	1	2	2		2		2																		1777.88478092617
303937800	209	1	4	2		2		2		2		2		2		2											2											2								1	2	1	1	2	1	2	2		4																		1777.88478092617
303938200	209	1	3	2		2		2		2		2		2		2											1	2	1	2	2	1	2	1	1	2	2	2								2					1	2	1	1		1	1	2	2	2													1013.62207626788
303938700	209	1	3	1	2	1	3	2		2		2		2		2											1	2	2	2	2	2	1	2	2	2	2	2								1	2	1	1	2	1	2	1	1		2	1	1	2	2													1006.17295486193
303938800	209	1	4	1	3	1	2	1	1	2		2		2		1	2	2	1	2	2	2	1	2	2	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	2	1	5	1	3		1	1	2	2	2	2	2	1	2	2	2	1	2	1	1	2	1	968.576969022755
303938800	209	1	5	2		1	5	2		2		2		2		1	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	5	1	2		1	1	1	2	2	2	2	1	2	2	2	2	2	1	2	2	1	968.576969022755
303938900	209	1	4	1	2	2		2		2		2		2		2											1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	3	1	2		2	2	1	2	2	2	1	2	1	1	2	1	2	2	2	2	2	874.957364284811
303938900	209	1	5	1	2	2		2		2		2		2		2											2											1	2	2	2	2	2	2	2	1	1	1	1	1	1	3	1	2		2	2	1	2	2	2	1	2	1	1	2	1	2	2	2	2	2	874.957364284811
303938900	209	1	8	1	3	2		2		2		2		2		2											1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	1	1	1	1	1	3	2		99						3	2	2	2	1	2	2	2	2	2	2	1	874.957364284811
303939000	209	1	2	1	2	2		2		2		2		2		2											1	2	1	2	2	2	1	1	1	2	2	2								1	1	1	1	2	1	3	1	3		2	1	1	2	2													973.837207193536
303939100	209	1	3	1	1	1	1	2		2		2		2		2											1	2	1	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	4	1	1	2	2		1	3		1	2	1	2	2	3	2	2	1	2	2	1	2	2	2	2	2	965.047578775056
303939200	209	1	4	2		2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	2					1	1	1	2		1	2	2	2	2	2	2	1	2	2	2	1	2	1	1	1	1	1177.37124206538
303939500	209	1	4	2		2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	1	2	2	1	2	2		1	2		1	1	2	2	2	2	2	1	2	2	2	1	1	1	2	2	2	1257.60490707894
303939500	209	1	5	2		2		2		2		2		2		2											2											1	2	2	2	2	2	2	1	2					1	2	1	2		1	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1	1257.60490707894
303940000	209	1	2	1	2	1	4	2		2		2		2		2											1	2	2	1	2	1	2	2	1	2	1	1	2	2	2	1	2	2	2	2					1	3	1	2		1	1	1	2	2	1	1	1	1	2	2	1	2	2	2	2	2	1204.08841291973
303940100	209	1	3	2		2		2		2		2		2		2											2											1	1	2	2	2	2	1	2	1	2	2	1	2	99		99								1	2	1	2	2	2	2	2	1	2	2	1	1194.85896934791
303940100	209	1	6	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	2					99		99								1	2	1	2	2	2	2	2	2	2	2	1	1194.85896934791
303940200	209	1	5	1	3	1	4	2		1	5	2		2		2											1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	3	2	1	2	1	3	1	4		1	1	2	2	2	1	2	2	2	1	2	1	2	1	2	2	2	940.432381526201
303940300	209	1	3	2		2		2		2		2		2		2											1	2	2	1	2	2	2	2	2	2	2	2								1	2	2	1	2	1	2	1	3		1	2	2	2	2													888.584210144798
303940300	209	1	4	2		2		2		2		2		2		2											2											2								1	2	2	1	2	1	2	1	2		1	2	2	2	2													888.584210144798
303940600	209	1	2	2		2		2		2		2		2		2											2											2								1	1	2	1	1	2		2		1																		900.275743337883
303940600	209	1	3	2		2		2		2		2		2		2											2											2								1	1	1	1	1	1	3	2		1																		900.275743337883
303940900	209	1	4	2		2		2		1	3	2		1	3	2											2											1	2	2	2	2	2	1	2	1	3	1	2	2	1	3	2		2						1	2	1	2	2	2	2	2	2	2	2	1	1550.24391998117
303941100	209	1	3	1	3	2		2		2		2		2		2											2											1	1	1	2	1	1	2	2	2					1	3	1	1		1	1	2	2	2	1	2	1	2	1	2	1	1	1	1	1	2	1725.65525014391
303941200	209	1	4	2		2		2		2		2		2		2											2											1	1	2	2	2	2	1	2	1	2	1	2	2	1	3	1	2		1	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1	1608.70635821139
303941400	209	2	2	1	3	2		2		2		2		2		2											2											1	1	1	2	2	2	1	2	1	2	1	1	1	1	3	1	1		1	1	2	2	2	2	1	1	2	2	2	1	2	1	2	2	2	1514.3509146223
303941500	209	1	4	1	5	2		2		2		1	4	2		2											1	2	2	2	1	2	1	2	2	2	1	1	1	1	1	2	2	1	1	1	3	2	1	2	1	5	1	1		1	1	1	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1550.24391998117
303942500	209	1	5	1	5	2		2		2		2		2		1	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	1	2	2	2	2	2	2								1	4	1	2	2	1	2	1	2		1	1	2	2	2													1892.29089088943
303942900	209	1	3	2		2		2		2		2		1	5	2											2											1	2	2	2	2	2	1	2	2					1	3	1	1		1	1	2	2	2	1	2	1	2	2	2	1	2	1	2	1	1	1725.65525014391
303943500	209	1	4	2		2		2		2		2		2		2											2											2								2					1	3	2		5																		1550.24391998117
303943900	209	1	3	1	3	2		2		2		2		2		2											2											1	2	2	2	1	2	1	2	1	4	1	1	1	1	3	1	1		1	1	1	1	2	2	2	2	2	1	2	1	2	2	2	2	1	1126.8905183328
303944000	209	1	4	2		2		2		2		2		2		2											1	2	2	1	1	1	2	2	2	2	2	2								1	2	1	1	1	1	2	1	2		1	2	2	2	2													1068.5302577198
303944000	209	1	5	2		2		2		2		2		2		2											2											2								1	4	1	1	2	1	3	99																				1068.5302577198
303944300	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	2					1	3	1	2		1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1108.8371494933
303945000	209	1	3	1	3	2		1	4	1	5	2		2		2											1	2	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	4	1	1	2	2		2		2						1	1	1	1	2	2	1	1	2	1	1	1	1197.3211757286
303945500	209	1	4	1	3	2		2		2		2		2		2											2											2								2					2		1	3		1	1	2	2	2													1021.34950549584
303945800	209	1	3	2		2		2		2		2		2		2											2											2								1	4	1	1	2	1	3	2		1																		1031.12134172194
303945900	209	1	2	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	1	2	2	1	1	3	2		2						1	2	2	2	1	2	1	2	2	1	1	1	844.574540468058
303946000	209	1	5	2		2		2		2		2		2		2											2											2								2					1	4	1	2		1	2	2	2	2													697.254808703317
303946200	209	1	2	2		2		2		2		2		2		2											2											1	2	1	2	2	2	1	2	2					1	3	1	1		1	1	2	2	2	3	1	1	2	2	2	1	1	1	2	2	1	1326.01746328259
303946300	209	1	5	1	2	2		2		2		2		2		2											1	2	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	1	2	2	1	2	2		1	1		1	1	2	2	2	1	1	2	2	1	2	1	2	2	1	2	1	1038.98053058001
303946600	209	1	4	1	1	2		1	2	2		2		2		1	2	2	1	1	2	2	2	1	2	2	2											1	2	2	1	2	2	1	2	1	2	1	1	2	1	3	1	2		1	1	1	2	2	2	1	2	1	1	2	1	1	2	1	1	2	892.67095826912
303947100	209	1	3	1	3	2		2		2		2		2		2											2											2								2					1	3	2		2																		585.307221006564
303947200	209	1	5	2		2		2		2		2		2		2											2											2								2					1	3	1	2		1	1	2	2	2													694.806268917324
303947200	209	1	6	2		2		2		2		2		2		2											2											2								2					1	3	1	2		1	2	2	2	2													694.806268917324
303947300	209	1	3	2		2		2		2		2		2		2											2											2								2					1	2	1	1		1	1	2	2	2													990.884112778948
303947700	209	1	5	2		2		2		2		2		2		2											2											1	1	2	1	1	2	1	2	2					1	3	2		2						1	2	1	2	2	2	1	2	1	1	1	1	1088.08710783492
303947800	209	1	4	1	1	2		2		2		2		2		2											2											1	1	2	2	2	2	1	1	1	3	2	1	2	2		1	2		1	1	2	2	2	2	2	1	2	2	2	1	2	1	2	1	1	962.221484904702
303948100	209	1	4	2		2		2		2		2		2		2											2											1	1	2	2	2	2	1	2	1	4	2	1	2	2		1	4		1	1	2	2	2	2	2	1	2	2	2	1	2	1	2	2	1	1150.0351036436
303948300	209	1	6	1	2	2		2		2		2		2		2											2											1	1	2	2	2	2	2	2	2					1	1	1	2		1	1	1	2	2	2	1	2	2	1	2	1	2	1	2	2	2	747.66081576743
303948400	209	1	3	2		2		2		2		2		2		2											2											2								2					2		2		5																		990.884112778948
303948700	209	1	3	1	3	2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	2	1	1	2	1	1	2		4						2	1	2	2	2	2	2	2	1	2	2	1	1881.34623264223
303948700	209	1	4	1	3	2		2		2		2		2		2											2											1	2	2	2	2	2	2	1	1	2	1	1	2	2		1	2		1	1	2	2	2	2	1	2	2	1	2	1	2	2	2	2	1	1881.34623264223
303948700	209	1	5	2		2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	1	1	1	2	2		2		2						2	2	2	2	1	2	2	2	2	2	2	1	1881.34623264223
303948900	209	1	4	2		2		2		2		2		2		2											1	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	1	2	2	1	2	2	1	2	99		1	2		1	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	986.741803172918
303948900	209	1	5	2		2		2		2		2		2		2											1	2	2	2	2	2	2	2	1	2	2	2								1	3	1	1	2	1	3	99																				986.741803172918
303949300	209	1	3	1	3	2		2		2		2		2		2											2											1	1	2	2	2	1	2	1	1	4	2	1	2	1	99	99								4	2	1	2	2	2	1	2	1	1	1	1	586.795871290003
303949400	209	1	3	1	4	2		2		1	5	1	5	1	5	2											2											1	1	2	2	2	2	2	1	1	4	1	2	2	1	3	1	4		1	1	2	2	2	4	2	1	2	2	2	1	2	1	1	1	1	759.865545275842
303949900	209	1	3	1	1	2		2		1	3	1	2	1	3	1	2	2	1	2	2	2	2	2	2	2	2											1	1	2	2	2	2	2	2	1	1	2	1	2	1	3	2		2						3	1	2	2	1	2	2	2	1	2	2	2	194.348427461106
