Directorio	Nro_encuesta	Hogarnmero	P5000	P5010	P5090	P201s1	P201s2	P201s3	P201s4	P201s5	P201s6	P201s7	P201s8	P201s9	P201s10	P201s11	P201s12	P201s13	P201s14	P201s15	P201s16	P201s17	P201s18	P201s19	P201s20	P201s21	P201s22	P201s23	P201s24	P201s25	P201s26	P201s27	P5220	P5220s1	P229s1	P229s2	P229s3	P229s4	P230	P231s1	P231s1a1	P231s2	P231s2a1	Fex_c
303921000	208	1	4	3	1	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2							1	0	0		1153.57759374883
303921100	208	1	6	2	3	1	2	1	1	1	1	2	2	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	2	1	1	2	1	3						4	2	0		1875.4624539586
303921200	208	1	3	2	4	2	2	1	2	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	4						2	0	0		1618.73125083302
303921300	208	1	6	4	1	1	2	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	3	7	3	3	2	3	100	100	0		1472.84482863362
303921400	208	1	4	2	1	2	2	1	1	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	1	1	1	2	1	2						10	5	0		1805.98830263907
303921500	208	1	3	2	3	2	2	1	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	1	3					2	10	10	0		793.029474397312
303921600	208	1	3	2	3	2	2	1	1	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	2					4	9	9	0		1549.87983994757
303921700	208	1	5	1	2	1	2	1	2	1	1	2	2	2	2	1	1	1	2	1	2	2	2	2	2	1	2	1	1	1	2	1	1	1	2	2	2	2	3	20	10	0		1063.74382328523
303921800	208	1	3	3	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	1	7	7	7	1		0		0		1138.42313093995
303921800	208	2	2	1	4	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	1	4	1	1	6	5	0		1138.42313093995
303921900	208	1	3	2	1	1	2	1	2	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2						30	30	30	30	1379.30856556651
303922000	208	1	3	2	1	1	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2						7	0		0		702.054036901239
303922100	208	1	4	3	1	1	2	1	1	1	1	2	2	2	2	1	2	1	2	2	2	2	2	2	1	1	1	1	1	1	2	2	1	2						45	43	0		1254.14163996699
303922200	208	1	3	3	3	2	2	1	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	1	2					6	15	15	0		1277.91351834312
303922300	208	1	2	1	1	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	4						10	10	0		1122.23846716017
303922400	208	1	5	3	3	2	2	1	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	1	2					3	80	60	0		1291.55776882469
303922400	208	2	5	3	3	2	2	1	1	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	2	1	1	1	2	1	1	2						100	80	0		1291.55776882469
303922500	208	1	2	1	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2						1	0	0		1061.77115524752
303922600	208	1	4	2	4	1	2	1	1	2	2	2	1	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2					7	20	18	0		1118.51882682535
303922700	208	1	5	2	3	1	2	1	1	1	2	2	1	2	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	2	2	1	3					1	100	30	0		1063.74382328523
303922800	208	1	4	3	1	1	2	1	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	1	1						70	30	40	40	1797.02532820716
303922900	208	1	5	4	1	2	2	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	4						12	9	0		2148.79050444439
303923000	208	1	2	1	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						4	0	0		1105.35578605201
303923100	208	1	3	2	4	2	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2	1	7	7	1	7	5	5	0		632.382810163012
303923200	208	1	2	1	5	2	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2					2	4	0	0		1357.5093552281
303923300	208	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2					2	2	2	0		1229.30701674979
303923400	208	1	1	1	1	2	2	1	1	1	2	2	2	2	2	1	2	1	2	2	1	2	2	2	2	2	2	1	2	1	2	2	1	2						1	0	0		1335.72393476202
303923500	208	1	3	2	1	2	2	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2							2	0	0		1346.33277236481
303923600	208	1	2	1	3	2	2	1	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2					1	3	1	0		1063.74382328523
303923700	208	1	2	2	4	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2					7	30	30	0		1310.88931154482
303923800	208	1	2	2	5	1	2	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	2	1	1	1	1	2	2	1	4					7	70	35	1	1	1291.55776882469
303923900	208	1	1	1	3	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	1	7	1		6	3	0		1379.30856556651
303924000	208	1	2	1	4	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						1	0	0		1039.04668567995
303924100	208	1	4	1	1	2	2	1	2	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	2						2	0	0		1515.06261521182
303924300	208	1	6	3	2	2	2	1	1	1	1	2	2	2	2	1	2	2	1	2	1	2	2	2	1	1	1	1	1	1	2	2	1	3					3	150	40	5	3	963.815447912372
303924400	208	1	4	1	3	2	2	1	2	1	1	1	2	2	2	2	1	2	2	1	1	2	2	2	2	1	1	1	1	1	2	2	1	2	1	3	3	1		100	40	40	30	1039.04668567995
303924500	208	1	3	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	2	3	6	1		0		0		1039.04668567995
303924700	208	1	6	4	1	1	2	1	1	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	1	5						45	7	0		1019.80109726673
303924800	208	1	4	2	3	1	2	1	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	3	7	7	7	3		3	3	0		1501.90949723963
303924900	208	1	6	4	3	2	2	1	2	1	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	1	1	1	1	1	2	2	1	3	4	4	3	2		50	15	0		1501.90949723963
303925000	208	1	5	2	1	1	2	1	1	1	1	2	2	2	2	1	1	1	2	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1						0		0		1531.62871975753
303925100	208	1	4	2	4	2	2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2						10	8	0		1955.56165439986
303925200	208	1	6	4	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	6						20	0	0		1450.1579394142
303925300	208	1	4	2	3	1	2	1	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	3	1	7	7	1		10	10	0		1501.90949723963
303925400	208	1	5	4	3	1	2	1	1	1	1	1	2	2	2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	4						20	7	0		1265.04470375844
303925500	208	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2						1000	0	0		1460.75847433712
303925600	208	1	3	2	2	1	1	1	1	1	2	1	2	2	2	2	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2						50	0	0		1578.08001012151
303925700	208	1	4	3	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	5						1500	300	0		1606.67559259573
303925800	208	1	4	2	3	1	1	1	2	1	1	1	2	1	2	1	1	2	2	1	2	2	1	2	2	1	1	1	1	1	1	1	1	2						60	10	0		1350.69211151956
303925900	208	1	3	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2						200	0	20	5	1350.69211151956
303926000	208	1	5	4	3	1	1	1	2	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	5						90	0	1500	0	1416.26208947851
303926100	208	1	4	2	1	1	2	1	1	1	1	1	2	1	2	2	1	2	1	1	2	2	1	2	2	1	1	1	1	1	1	2	1	2						0		0		1270.3449712199
303926200	208	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2						0		0		1460.75847433712
303926300	208	1	4	3	3	1	2	1	1	1	1	1	2	1	2	2	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2						0		0		1460.75847433712
303926400	208	1	4	3	1	1	2	1	1	1	1	2	2	2	2	1	1	2	1	2	2	1	2	2	1	1	1	1	1	1	1	2	1	4						20	20	0		1345.3918440581
303926500	208	1	4	2	3	1	2	1	2	1	2	1	2	2	2	1	1	1	1	2	2	2	2	2	1	2	2	1	1	1	2	2	1	3						0		0		1501.90949723963
303926600	208	1	5	5	1	1	2	1	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	2					6	10	10	10	10	1868.87750378462
303926700	208	1	9	1	1	2	2	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						0		0		1687.02273289539
303926700	208	2	5	3	1	1	2	1	1	1	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	1	1	2	2	1	2						2	2	0		1687.02273289539
303926800	208	1	4	3	4	1	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2					3	50	20	0		1615.36694505632
303926900	208	1	4	3	3	1	2	1	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	3	7	7	7	2	4	40	32	0		1771.88459823786
303927000	208	1	6	3	1	1	2	1	1	2	1	1	2	2	2	2	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	2	1	2						30	20	0		1692.32300035685
303927100	208	1	3	2	3	1	2	1	1	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	2	1	3						30	15	0		1345.3918440581
303927200	208	1	3	2	4	1	2	1	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	2					7	20	7	0		1342.91892171022
303927300	208	1	4	3	3	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	5	2	7	7	1		0		0		1032.35653769503
303927400	208	1	8	6	1	1	2	1	1	1	1	2	2	2	2	1	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	2	1	7					7	70	20	0		1255.88034832928
303927500	208	1	4	1	3	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1						10	5	2	2	1010.09268602018
303927600	208	1	3	3	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	1	2	2	1	5						1	0	0		1044.7456305736
303927700	208	1	3	3	1	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	3						8	8	0		1021.19951132369
303927900	208	1	3	3	4	2	2	1	2	1	1	2	2	2	2	2	1	1	2	1	2	2	2	2	2	1	1	1	1	1	1	2	1	3	3	1	4	3		40	12	0		1074.76418135697
303928000	208	1	2	1	3	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	1						3	2	1	1	1051.21806210705
303928100	208	1	5	2	1	2	1	1	1	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	2					3	30	20	5	5	927.479056995358
303928200	208	1	3	1	3	2	2	1	1	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	1	1						200	20	0		1051.21806210705
303928300	208	1	1	1	1	2	2	1	2	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	7	3	2	7	2	2	0		1013.62207626788
303928400	208	1	4	2	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	2	2	2	2	2	1	1	2	1	1	1	2	2	1	2	1	7	7	1		50	20	0		1024.84917685162
303928500	208	1	3	2	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	1						0		0		1033.88140684094
303928600	208	1	5	3	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	1	1	1	1	2	2	1	3					3	5	3	0		992.39315390299
303928700	208	1	4	1	3	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						0		0		1042.42843368857
303928800	208	1	3	2	3	1	2	1	1	2	1	2	2	1	2	2	1	2	2	1	2	2	2	2	2	1	1	1	1	1	2	2	1	2					7	12	12	0		2611.80287793597
303928900	208	1	1	1	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1						0		0		1658.73383460604
303929000	208	1	4	3	3	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	2						10	5	0		1567.42617116134
303929100	208	1	4	3	3	1	2	1	2	1	2	1	2	2	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	2	2	1	2	7	7	5	6		3	2	0		1972.39685347028
303929200	208	1	4	3	2	1	2	1	1	1	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	3	3	7	2	3		5	5	0		856.819096396562
303929300	208	1	4	3	2	1	2	1	1	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	2						1	0	0		2117.37085158196
303929400	208	1	4	3	3	2	2	1	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	1	1	1	1	1	2	1	2	2	4	7	1		20	8	0		1757.39691175179
303929500	208	1	3	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	2						100	0	0		1294.60463055322
303929600	208	1	3	2	3	1	2	1	1	2	2	1	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	1	1	1	2	2	1	2	1	2	1	1	1	15	2	0		1715.03177111419
303929700	208	1	3	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2						0		0		1757.39691175179
303929800	208	1	3	2	3	1	2	1	2	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1					6	0		0		1475.65654681885
303929900	208	1	4	2	3	2	2	1	1	1	1	2	2	2	2	1	1	1	2	2	2	1	2	2	1	2	1	1	1	1	1	2	1	2	3	3	2	1		150	100	5	3	1108.55225777343
303930000	208	1	4	1	1	1	1	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2							3	2	0		1709.48292857048
303930100	208	1	2	2	1	1	2	1	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	1	2					3	1	1	0		3427.27638558625
303930200	208	1	2	2	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	3					3	1	1	0		1471.5012825962
303930300	208	1	2	2	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	1	2						1	0	0		856.819096396562
303930400	208	1	2	1	1	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	7	7	7	7		0		0		1933.13660292697
303930500	208	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1						0		0		1824.60721806664
303930600	208	1	3	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2						0		0		1083.91776315624
303930700	208	1	2	2	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1						2	2	0		1132.05235401077
303930800	208	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	1	2					3	2	2	0		2205.30853324555
303930900	208	1	2	1	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2	7	7	2		0		0		1757.39691175179
303931000	208	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2						6	6	0		1933.13660292697
303931100	208	1	2	1	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2							0		0		1424.06509360854
303931200	208	1	4	3	1	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	4						20	10	0		2372.67173694977
303931300	208	1	3	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1						2	0	0		2333.67872738507
303931400	208	1	4	2	1	2	2	1	1	1	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2					4	10	6	10	6	813.543861691849
